"ZONE","PAYS","VILLE","UNIVERSITE PARTENAIRE OFFRE DE SÉJOUR","Cadre / Type de mobilité","Nombre places","Commentaires pour les étudiants
Les informations sont données à titre indicatif. Elles peuvent être modifiées par l'université d'accueil au moment de l'établissement du dossier d'inscription.","Category (indicative) C1/C2/C3","ANGLAIS","Langue Locale","DEPART E4","DEPART E5","DEPART en E4
pour le 1er semestre E4","DEPART en E4
pour le 2e semestre E4","DEPART en E5
pour le 1e semestre E5","AIC","BIO","CYB","DSIA","ENE","GI","INF","SE","SEI","Parcours MGT en 5e année","DEPART Apprentis pour le 1e semestre E5","FE","FG","FI","FR","FT","Parcours MGT"
"AMERIQUE DU NORD","CANADA","CHICOUTIMI (QC)","UNIVERSITÉ DU QUÉBEC A CHICOUTIMI","Accord spécifique / MoA","5","pour GI : parcours orienté ""mécanique""","C2","","FR","","OUI","","","OUI","OUI","","OUI","OUI","","OUI","OUI","OUI","","","OUI","OUI","OUI","OUI","OUI","",""
"AMERIQUE DU NORD","CANADA","MONTREAL (QC)","UNIVERSITÉ DU QUÉBEC A MONTRÉAL","Accord spécifique / MoA","5","Sélectioner les programmes courts uniquement (1 trimestre)","C1+","","FR","OUI","OUI","OUI","","OUI","OUI","","OUI","OUI","","","OUI","","","","","","","","","",""
"AMERIQUE DU NORD","CANADA","QUÉBEC (QC)","UNIVERSITÉ LAVAL
Faculté des Sciences et de Génie","Accord spécifique / MoA","4
(DD et échange)","Notez que pour la filière GI : seul le baccalauréat de Génie Industriel est ouvert au programme d'échange.
Sont donc concernés les étudiants E4GI","C1","","FR","OUI","OUI","OUI","","OUI","OUI","OUI","OUI","OUI","","OUI","OUI","","","","OUI","","","OUI","OUI","",""
"AMERIQUE DU NORD","CANADA","SHERBROOKE (QC)","UNIVERSITÉ DE SHERBROOKE","Accord spécifique / MoA","5","Programme payant - voir grille tarifaire publique sur l'intranet. Pour GI : parcours orienté ""mécanique""","C2","","FR","OUI","OUI","OUI","","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","","OUI","OUI","OUI","OUI","OUI","OUI",""
"AMERIQUE DU NORD","ÉTATS-UNIS","ALBUQUERQUE","UNIVERSITY OF NEW MEXICO","Accord spécifique / MoA","2","Frais de dossiers Niveau Anglais B2","C2","OUI","","OUI","OUI","OUI","","OUI","OUI","OUI","OUI","OUI","","OUI","OUI","OUI","OUI","","OUI","OUI","OUI","OUI","OUI","",""
"AMERIQUE DU NORD","ÉTATS-UNIS","IRVINE","UNIVERSITY OF CALIFORNIA - IRVINE 
(CDP Cybersecurity)","Accord spécifique / MoA","Min 15","Programme ESIEE Paris - UCI ""Custom Design Program"" (CDP) Cybersecurity - compatible norme ANSII (tarif des ACP avec 20% de réduction) -TOEIC 685
Le CDP nécessite un minimum de 15 étudiants intéressés pour être organisé.","C3","OUI","","","OUI","","","OUI","OUI","","OUI","","","","","","","","OUI","","","","OUI","",""
"AMERIQUE DU NORD","ÉTATS-UNIS","IRVINE","UNIVERSITY OF CALIFORNIA - IRVINE","Accord spécifique / MoA","non limité","Certificats payants (20% de réduction sur le tarif public) - TOEIC 685  Voir guide de la mobilité - section double-diplômes - autres programmes","C3","OUI","","","OUI","","","OUI","OUI","MGT","OUI","OUI","MGT","MGT","MGT","MGT","MGT","OUI","OUI","MGT","MGT","MGT","OUI","MGT","OUI"
"AMERIQUE DU NORD","ÉTATS-UNIS","LAS VEGAS","UNIVERSITY OF NEVADA, LAS VEGAS","Accord spécifique / MoA","non limité","Programme ""Go for PhD"" : Cours E5-S1, puis projet de 6 mois (S2) pour poursuivre sur un research assistant (PhD) -
Toeic : 650 - Frais de scolarité  (voir site Université - tarifs publics)","C2","OUI","","","OUI","","","OUI","OUI","OUI","OUI","OUI","OUI","","OUI","OUI","OUI","","","","","","","",""
"AMERIQUE DU NORD","ÉTATS-UNIS","SAN DIEGO","UNIVERSITY OF CALIFORNIA - SAN DIEGO","Accord spécifique / MoA","non limité","Programme UPS Track 1 à 3 - Programme payant (Voir site de l'université). Les assurances sont obligatoires à prendre sur place (payant 800 dollars)
12/20 de moyenne exigée
Exigences des 4 compétences (Listening, Reading, Speaking, Writing) Tests accepté : Duolingo :  https://englishtest.duolingo.com/applicants","C2","OUI","","OUI","OUI","OUI","","OUI","OUI","OUI","","OUI","","","OUI","OUI","OUI","","OUI","OUI","","OUI","","",""
"AMERIQUE DU NORD","ÉTATS-UNIS","SANTA BARBARA","UNIVERSITY OF CALIFORNIA - SANTA BARBARA","Accord spécifique / MoA","25","University Immersion Program (UIP) - Programme payant (voir site université) pour 1 quarter (12 SCHF) 12/20 de moyenne
Tests acceptés : Toeic 760 / Duolingo. Exigences des 4 compétences (Listening, Reading, Speaking,
Writing)","C2","OUI","","","OUI","","","OUI","MGT","MGT","OUI","MGT","MGT","MGT","MGT","OUI","OUI","OUI","OUI","OUI","MGT","MGT","MGT","MGT","OUI"
"AMERIQUE LATINE","BRÉSIL","BELO HORIZONTE","PONTIFICIA UNIVERSIDADE CATOLICA DE  MINAS GERAIS","Accord spécifique / MoA","5","","C2","","POR","OUI","OUI","OUI","OUI","OUI","OUI","","","","","","OUI","","","","OUI","","","OUI","","",""
"AMERIQUE LATINE","BRÉSIL","CAMPINAS","UNIVERSIDADE ESTADUAL DE CAMPINAS","Accord spécifique / MoA","5","","C2","","POR","OUI","OUI","OUI","OUI","OUI","OUI","","","","","OUI","OUI","OUI","OUI","","OUI","OUI","OUI","","","",""
"AMERIQUE LATINE","BRÉSIL","SAO JOSE DOS CAMPOS","INSTITUTO TECNOLÓGICO DE AERONÁUTICA","Accord spécifique / MoA","6","Semestre validés avec un minimum de 10 crédits de l'ITA.","C2","","POR","OUI","OUI","OUI","","OUI","OUI","","","OUI","","","OUI","OUI","OUI","","OUI","OUI","","OUI","","",""
"AMERIQUE LATINE","CHILI","SANTIAGO DE CHILE","UNIVERSIDAD ADOLFO IBÁÑEZ","Accord spécifique / MoA","2","Campus Vina del Mar - Le niveau B2 est fortement recommandé pour réussir les cours d'espagnol. Que des cours en undergraduate.","C2/3","OUI","ESP","OUI","OUI","OUI","OUI","OUI","OUI","OUI","","OUI","OUI","OUI","OUI","","","","OUI","","OUI","OUI","OUI","OUI",""
"AMERIQUE LATINE","CHILI","VALPARAISO","PONTIFICIA UNIVERSIDAD CATÓLICA DE  VALPARAÍSO","Accord spécifique / MoA","2","Niveau de langue Espagnol B2","C2/3","","ESP","OUI","OUI","OUI","OUI","OUI","OUI","","OUI","OUI","OUI","OUI","OUI","OUI","OUI","","OUI","OUI","OUI","OUI","","OUI",""
"AMERIQUE LATINE","CHILI","VALPARAISO","UNIVERSIDAD ANDRÉS BELLO","Accord spécifique / MoA","4","Niveau de langue Espagnol B2","C2/3","OUI","ESP","OUI","OUI","OUI","OUI","OUI","OUI","","","","","OUI","OUI","","","","OUI","","OUI","OUI","OUI","",""
"AMERIQUE LATINE","CHILI","VALPARAISO","UNIVERSIDAD TECNICA FEDERICO SANTA  MARIA","Accord spécifique / MoA","3 par semestre","Niveau de langue Espagnol B1 / Moyenne 12 sur 20","C1","OUI","ESP","OUI","OUI","OUI","OUI","OUI","OUI","","","","OUI","OUI","OUI","OUI","","","OUI","OUI","OUI","OUI","","OUI",""
"AMERIQUE LATINE","MEXIQUE","MONTERREY","TECNOLÓGICO DE MONTERREY","Accord spécifique / MoA","6","Campus de Monterrey uniquement. Examens sur le campus de Monterrey.","C2","OUI","ESP","OUI","OUI","OUI","","OUI","OUI","OUI","OUI","OUI","OUI","","OUI","OUI","OUI","","OUI","","","OUI","OUI","OUI",""
"ASIE","CHINE","PEKIN","BEIJING JIAOTONG UNIVERSITY","Accord spécifique / MoA","3","Les universités Chinoises n'acceptent pas d'étudiants de nationalité Chinoise en échange internationaux.","C3","OUI","","OUI","OUI","OUI","OUI","OUI","OUI","","OUI","","","","OUI","","","","OUI","","","OUI","OUI","",""
"ASIE","CHINE","XI'AN","NORTHWESTERN POLYTECHNIC UNIVERSITY","Accord spécifique / MoA","4 par semestre","Frais de dossier (logement, services) de 600€ approx. 2 coef de conversion. Les universités Chinoises n'acceptent pas d'étudiants de nationalité Chinoise en échange internationaux.","C3","OUI","","OUI","OUI","OUI","OUI","OUI","OUI","OUI","","","","OUI","OUI","OUI","OUI","","OUI","OUI","OUI","OUI","","",""
"ASIE","COREE DU SUD","SUWON","AJOU UNIVERSITY","Accord spécifique / MoA","6","Sept-Dec (S1) / Mars-Juin (S2)","C2","OUI","","OUI","","OUI","OUI","","OUI","","","OUI","","","OUI","","","","","","","","","",""
"ASIE","JAPON","GUNMA","GUNMA UNIVERSITY
Graduate School of Engineering","Accord spécifique / MoA","5","","C2","OUI","JAP","","OUI","","","OUI","OUI","","","","","","OUI","","OUI","","OUI","OUI","","","","",""
"ASIE","JAPON","KYOTO","KYOTO UNIVERSITY OF ADVANCED SCIENCE","Accord spécifique / MoA","5","","C1","OUI","","","OUI","","","OUI","","","","","OUI","","","OUI","OUI","","OUI","OUI","","","","",""
"ASIE","JAPON","NARA","NARA INSTITUTE OF SCIENCE AND  TECHNOLOGY (NAIST)","Accord spécifique / MoA","3","Semestre d'étude et stage E5 compris. Nécessité d'avoir un projet de poursuite en thèse de doctorat.","C1","OUI","","","OUI","","","OUI","OUI","OUI","","OUI","","","OUI","","","","","","","","","",""
"ASIE","MALAISIE","PUTRAJAYA","HERIOT-WATT UNIVERSITY - Malaysia Campus","Accord spécifique / MoA","50","Programme payant : M.Sc. - 1 semestre payant (voir site université) - Test de TOEFL nécessaire pour les cours de la school of management
Anglais niveau B2 requis. Les attestations de langues ANGLAIS - Niveau B2 suffisent
Validité passeport : La durée de validité du passeport doit être supérieure à 18 mois à compter de la date de début du programme.
Depuis 2024 un nouveau type de visa permet d'étudier une année complète pour un avoir un Master.","C2","OUI","","","OUI","","","OUI","MGT","MGT","MGT","MGT","OUI","OUI","MGT","MGT","MGT","OUI","OUI","MGT","OUI","MGT","MGT","OUI","OUI"
"ASIE","TAIWAN","TAIPEI","NATIONAL TAIPEI UNIVERSITY OF TECHNOLOGY","Accord spécifique / MoA","6","","C1","OUI","","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","","OUI","OUI","OUI","OUI","OUI","OUI",""
"ASIE","THAILANDE","PATHUMTHANI","SIRINDHORN INTERNATIONAL INSTITUTE OF  TECHNOLOGY, THAMMASAT UNIVERSITY","Accord spécifique / MoA","5","Pour les départs en E4 :
Début août - Fin décembre
Pour la filière GI  : Profil GI managers","C3","OUI","","OUI","","OUI","","","OUI","","OUI","OUI","OUI","","OUI","OUI","OUI","","","","","","","",""
"ASIE","THAILANDE","PATHUMTHANI","SIRINDHORN INTERNATIONAL INSTITUTE OF  TECHNOLOGY, THAMMASAT UNIVERSITY","Accord spécifique / MoA","Voir ci- dessus","Pour les départs en E5 :
Début août - Fin décembre
Pour la filière GI  : Profil GI managers","C3","OUI","","","OUI","","","OUI","MGT","MGT","MGT","MGT","MGT","OUI","MGT","MGT","MGT","OUI","OUI","OUI","OUI","OUI","OUI","MGT","OUI"
"EUROPE","ALBANIE","TIRANA","METROPOLITAN TIRANA UNIVERSITY","Accord spécifique / MoA","3","","C3","OUI","","OUI","","","OUI","","OUI","","","OUI","","","OUI","","","","","","","","","",""
"EUROPE","ALLEMAGNE","BERLIN","TECHNISCHE UNIVERSITÄT BERLIN","Erasmus+ Etudes (SMS)","2","Si les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B2.
Si les cours sont enseignés en langue allemande, le niveau minimum d'allemand requis est B1 (pour l'inscription, un certificat A2.2 est accepté mais l'étudiant devra fournir un certificat B1 avant le début du semestre).","C1","OUI","GE","","OUI","","","OUI","","","","","OUI","","","","","","","","","","","",""
"EUROPE","ALLEMAGNE","DRESDE","TECHNISCHE UNIVERSITÄT DRESDEN
Faculty of Electrical and Computer Engineering","Erasmus+ Etudes (SMS)","2","Les cours sont enseignés en langue allemande, le niveau minimum d'allemand requis est B1.","C1","","GE","","OUI","","","OUI","OUI","","OUI","OUI","","","OUI","","","","","","","","","",""
"EUROPE","ALLEMAGNE","DRESDE","TECHNISCHE UNIVERSITÄT DRESDEN
Faculty of Electrical and Computer Engineering","Erasmus+ Etudes (SMS)","voir ci- dessus","Les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B1/B2.","C1","OUI","","","OUI","","","OUI","OUI","","","","","","OUI","","OUI","","","","","","","",""
"EUROPE","ALLEMAGNE","DÜSSELDORF","HOCHSCHULE DÜSSELDORF - University of  Applied Sciences
Faculty of Mechanical and Process Engineering","Erasmus+ Etudes (SMS)","2","Si les cours sont enseignés en langue allemande, le niveau minimum d'allemand requis est B1.
Si les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B2.
Si les cours sont enseignés dans les deux langues, le niveau minimum d'allemand requis est B1 et le niveau minimum d'anglais requis est B2.","C1","OUI","GE","OUI","OUI","","OUI","OUI","","","","","OUI","OUI","","","","","","","","","","",""
"EUROPE","ALLEMAGNE","FRIBOURG","ALBERT-LUDWIGS UNIVERSITÄT FREIBURG","Erasmus+ Etudes (SMS)","4","Si les cours sont enseignés en langue allemande, le niveau minimum d'allemand requis est B1. Si les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B1.
Si les cours sont enseignés dans les deux langues, le niveau minimum d'allemand requis est B1 et le
niveau minimum d'anglais requis est B1.","C2","OUI","GE","OUI","OUI","","OUI","OUI","OUI","","OUI","","","","OUI","","","","","","","","","",""
"EUROPE","ALLEMAGNE","LÜBECK","TECHNISCHE HOCHSCHULE LÜBECK","Erasmus+ Etudes (SMS)","2","Si les cours sont enseignés en langue allemande, le niveau minimum d'allemand requis est B1.
Si les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B2.
Si les cours sont enseignés dans les deux langues, le niveau minimum d'allemand requis est B1 et le niveau minimum d'anglais requis est B2.","C2","OUI","GE","","OUI","","","OUI","","","","","OUI","OUI","","","","","OUI","","OUI","OUI","","OUI",""
"EUROPE","ALLEMAGNE","LÜBECK","TECHNISCHE HOCHSCHULE LÜBECK","Erasmus+ Etudes (SMS)","voir ci- dessus","Si les cours sont enseignés en langue allemande, le niveau minimum d'allemand requis est B1. Si les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B2.
Si les cours sont enseignés dans les deux langues, le niveau minimum d'allemand requis est B1 et le
niveau minimum d'anglais requis est B2.","C2","OUI","GE","OUI","","","OUI","","","","","","OUI","","","","","","","","","","","",""
"EUROPE","ALLEMAGNE","REUTLINGEN","HOCHSCHULE REUTLINGEN","Erasmus+ Etudes (SMS)","4","Si les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B2.
Si les cours sont enseignés en langue allemande, le niveau minimum d'allemand requis est B2.","C2","OUI","GE","OUI","OUI","","OUI","OUI","","","","","","","","OUI","OUI","","OUI","OUI","","","","",""
